href,href_response
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.14-Melton.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.11-Bowen.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.b-Flagler.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.a-Collyer.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Qader.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.02.b-Matigan.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.02.a-Pierre.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.31-Gerring.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.a-Neptune.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.22-Marcus.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.21.b-Magee.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.18-Wilson.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.15-Boca.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.03-Maui.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.25-Boarman.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.23-Beardall.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.22-Manson.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.19-Kedem.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.13-Senkowicz.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.09-Malignon.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.08-CapeVerde.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.b-Lester.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.a-Trinidad.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.31-Orr.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.30-Connellan.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.28.b-Kawa.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.26-Kreckman.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.13-BolsaChicaSurfer.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.11-Kenny.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.10-Tabua.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.04-OCPark.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.03.R-Taplin.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.02-Thomas.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.22-Noumea.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.19-NewCaledonia.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.12-Howe.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.10.R-Branson-stingray.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.05-Stradbroke.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.04-Morris.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.02-Thomas.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.29-DeLange.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.28-Kauai.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.25-Waldman.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.24.b-Love.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.24.a-UAEboat.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.23-Mason.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.11.R-Hilder.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.05-Davis.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.02-Countryman.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.26-Wardell.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.25-GrandCanary.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.22-Ford.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.21.b-Norburn.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.19-Aruba.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.13-Crust-Boat.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.11-Pinder.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.08-Scott.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.20-Hurley.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.16-Conti.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.15.b-SRB.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.10-Morgan.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.07-Underwood.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.03-O'Leary.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.01.b-Kruse.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.01.a-Ernesto.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.30-Galli.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.28-Senensi.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.25-Anderson.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.21-Playalinda.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.19-Kirn.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.c-Cavel.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.a-Lee.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.09.b-Kershner.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.09.a-Cook.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.08-Rafael.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.07-Zawadzki.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.05.b-FtPierce.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.04-Tarasovic.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.29-Morrison.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.26-QLD.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.24-Kenney.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.d-NSB.pdf,200.0
