date,year,type,country,area,location,activity,sex,injury,fatal_(y/n),time,species,href,species_sorted,age3,month_attack
25-Apr-1935,1935.0,Invalid,AUSTRALIA,New South Wales,Coogee,"Disappeared 11 days earlier, probable homicide victim",M,Captive tiger shark regurgitated his arm in the Coogee Aquarium,NaN,,Invalid,http://sharkattackfile.net/spreadsheets/pdf_directory/1928.06.24.R-Stevens.pdf,,40,Apr
Reported 12-Apr-1935,1935.0,Unprovoked,,,,Diving,F,Laceration to left leg,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1928.05.17-Smiot.pdf,,32.64647987214395,Apr
Reported 08-Apr-1935,1935.0,Unprovoked,USA,California,"Hermosa Beach, Los Angeles County",,M,Laceration to hand  ,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1928.04.14.R-BarrowPoint.pdf,,48.136292959109156,Apr
30-Mar-1935,1935.0,Unprovoked,AUSTRALIA,Queensland,Barrier Reef off Mackay,Diving from dinghy for trochus shell,M,Buttocks injured by fin or a bump ,N,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1928.04.14.a-Steele.pdf,,13.498944019881705,Mar
Reported 25-Mar-1935,1935.0,Provoked,SOUTH AFRICA,KwaZulu-Natal,"North Pier, Durban",Put foot inside mouth of supposedly dead shark,M,Injury to foot    PROVOKED INCIDENT,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1928.04.09-Jamaica.pdf,,-3.6441862088879873,Mar
20-Mar-1935,1935.0,Unprovoked,AUSTRALIA,Torres Strait,Three Mile Reef off Lizard Island 50 miles north of Cooktown,"Pearl diving, but standing in the water",M,Left thigh abraded & 3 fingers lacerated,N,,Tiger shark 3 m  [10'] ,http://sharkattackfile.net/spreadsheets/pdf_directory/1928.04.06-Arthy.pdf,Tiger shark,22.459876142097173,Mar
13-Mar-1935,1935.0,Provoked,AUSTRALIA,Queensland,Pimpana River,Hauling in net with shark in it,M,Calf & shin bitten  PROVOKED INCIDENT,N,,"""Blue nose shark""",http://sharkattackfile.net/spreadsheets/pdf_directory/1928.04.04-Lane.pdf,,38,Mar
11-Mar-1935,1935.0,Unprovoked,AUSTRALIA,New South Wales,Newcastle,Surfing,M,Abrasions to shins,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1928.03.28.R-Bob.pdf,,41.20414911557459,Mar
09-Mar-1935,1935.0,Unprovoked,AUSTRALIA,New South Wales,Maroubra Beach,Swimming,M,"FATAL, left thigh, buttock, left forearm bitten, finger removed  ",Y,Afternoon,"White shark, 4 m [13'] ",http://sharkattackfile.net/spreadsheets/pdf_directory/1928.02.20-Wanewa.pdf,White shark,27,Mar
02-Mar-1935,1935.0,Unprovoked,AUSTRALIA,New South Wales,North Narrabeen Beach,Standing,M,"FATAL, thigh bitten ",Y,Afternoon,"White shark, 3.5 m to 4 m [11.5' to 13'] ",http://sharkattackfile.net/spreadsheets/pdf_directory/1928.02.00.b-Artavia.pdf,White shark,22,Mar
14-Feb-1935,1935.0,Unprovoked,AUSTRALIA,New South Wales,Austinmer,Surfing (pneumatic surfboard),M,"Thigh lacerated, abrasions",N,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1928.02.00.a-Chavez.pdf,,20,Feb
24-Jan-1935,1935.0,Unprovoked,AUSTRALIA,New South Wales,"Off Ben Buckler, near Sydney",Fishing,M,"No injury, sleeve ripped",N,,"Tiger shark, 12' ",http://sharkattackfile.net/spreadsheets/pdf_directory/1928.01.27-Envoldt.pdf,Tiger shark,54.64526979154476,Jan
24-Jan-1935,1935.0,Boating,AUSTRALIA,Queensland,"Ross River, Townsville",Fishing for sharks,NaN,No injury to occupants,N,,2 sharks,http://sharkattackfile.net/spreadsheets/pdf_directory/1928.01.21.b-Florida-Swimmer.pdf,,34.61279378455536,Jan
